Book_name,Book_link,Book_stock_availability,Book_price,Book_UPC,Book_Tax,Book_number_of_reviews,Category,Category_link,Book_description
Rip it Up and Start Again,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,In stock,£35.02,a34ba96d4081e6a4,£0.00,0,Music,http://books.toscrape.com/category/books/music_14/index.html,"Punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of it"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,In stock,£57.25,deda3e61b9514b83,£0.00,0,Music,http://books.toscrape.com/category/books/music_14/index.html,This is the never-before-told story of the musical revolution that happened right under the nose of
Olio,http://books.toscrape.com/catalogue/olio_984/index.html,In stock,£23.88,feb7cc7701ecf901,£0.00,0,Poetry,http://books.toscrape.com/category/books/poetry_23/index.html,"Part fact, part fiction, Tyehimba Jess's much anticipated second book weaves sonnet, song, and narr"
Mesaerion: The Best Science Fiction Stories 1800-1849,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,In stock,£37.59,e30f54cea9b38190,£0.00,0,Science Fiction,http://books.toscrape.com/category/books/science-fiction_16/index.html,"Andrew Barger, award-winning author and engineer, has extensively researched forgotten journals and"
Libertarianism for Beginners,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,In stock,£51.33,a18a4f574854aced,£0.00,0,Politics,http://books.toscrape.com/category/books/politics_48/index.html,Libertarianism isn't about winning elections; it is first and foremost a political philosophy--a de
It's Only the Himalayas,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,In stock,£45.17,a22124811bfa8350,£0.00,0,Travel,http://books.toscrape.com/category/books/travel_2/index.html,"“Wherever you go, whatever you do, just . . . don’t do anything stupid.” —My MotherDuring her yearl"
In Her Wake,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,In stock,£12.84,23356462d1320d61,£0.00,0,Thriller,http://books.toscrape.com/category/books/thriller_37/index.html,A perfect life … until she discovered it wasn’t her own.A tragic family event reveals devastating n
How Music Works,http://books.toscrape.com/catalogue/how-music-works_979/index.html,In stock,£37.32,327f68a59745c102,£0.00,0,Music,http://books.toscrape.com/category/books/music_14/index.html,How Music Works is David Byrne’s remarkable and buoyant celebration of a subject he has spent a lif
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,In stock,£30.52,5674a18a29a43ced,£0.00,0,Food and Drink,http://books.toscrape.com/category/books/food-and-drink_33/index.html,Canning perfected the America’s Test Kitchen way. The art of preserving produce by canning and pres
Chase Me (Paris Nights #2),http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,In stock,£25.27,c2e46a2ee3b4a322,£0.00,0,Romance,http://books.toscrape.com/category/books/romance_8/index.html,"A Michelin two-star chef at twenty-eight, Violette Lenoir could handle anything, including a cocky "
Black Dust,http://books.toscrape.com/catalogue/black-dust_976/index.html,In stock,£34.53,00bfed9e18bb36f3,£0.00,0,Romance,http://books.toscrape.com/category/books/romance_8/index.html,"No matter how busy he keeps himself, successful Broadway musician Tobias Spence can’t outrun the me"
Birdsong: A Story in Pictures,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,In stock,£54.64,9528d0948525bf5f,£0.00,0,Childrens,http://books.toscrape.com/category/books/childrens_11/index.html,"Bring the thrilling story of one red bird to life. When an innocent bird meets two cruel kids, thei"
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,In stock,£22.50,c7d160c2c0de586f,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"Any fan of the Baltimore Colts of my era, any fan of my friend and teammate Johnny Unitas, or, for "
Aladdin and His Wonderful Lamp,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,In stock,£53.13,904208d6aa64b655,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"Planning on seeing Aladdin the Disney musical? Read the classic story of ""Aladdin and his Wonderful"
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,In stock,£40.30,4c28def39d850cdf,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,"Anti-apartheid activist, Bollywood screenwriter, Nazi pin-up, hero of the Wild West: this is Shakes"
Wall and Piece,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,In stock,£44.18,ccd9ffa25efabdea,£0.00,0,Art,http://books.toscrape.com/category/books/art_25/index.html,"Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and bridg"
The Four Agreements: A Practical Guide to Personal Freedom,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,In stock,£17.66,6258a1f6a6dcfe50,£0.00,0,Spirituality,http://books.toscrape.com/category/books/spirituality_39/index.html,"In The Four Agreements, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of "
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,In stock,£31.05,3c039985229453bf,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,"Are you and your spouse speaking the same language? While love is a many splendored thing, it is so"
The Elephant Tree,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,In stock,£23.82,5dada2b7be26bd03,£0.00,0,Thriller,http://books.toscrape.com/category/books/thriller_37/index.html,Mark Fallon is an overworked detective investigating a spate of attacks at a string of high profile
The Bear and the Piano,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,In stock,£36.89,9f6568e9c95f60b0,£0.00,0,Childrens,http://books.toscrape.com/category/books/childrens_11/index.html,"One day, a young bear stumbles upon something he has never seen before in the forest. As time passe"
Sophie's World,http://books.toscrape.com/catalogue/sophies-world_966/index.html,In stock,£15.94,6be3beb0793a53e7,£0.00,0,Philosophy,http://books.toscrape.com/category/books/philosophy_7/index.html,A page-turning novel that is also an exploration of the great philosophical concepts of Western tho
Penny Maybe,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,In stock,£33.29,668fe56b17cfcd4f,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"Sent to yet another foster family, Penny decides that the way to claim a sense of self is to swim L"
Maude (1883-1993):She Grew Up with the country,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,In stock,£18.02,094b269567e1c300,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"This new edition of Maude (1883-1993) has been updated by Mardo Williams’ daughters, adding histori"
"In a Dark, Dark Wood",http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,In stock,£19.63,19ed25f4641d5efd,£0.00,0,Mystery,http://books.toscrape.com/category/books/mystery_3/index.html,"In a dark, dark wood Nora hasn't seen Clare for ten years. Not since Nora walked out of school one "
Behind Closed Doors,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,In stock,£52.22,be5cc846f45496fb,£0.00,0,Thriller,http://books.toscrape.com/category/books/thriller_37/index.html,The 2016 debut bloggers can't stop raving about. Perfect for fans of The Girl on the Train and The 
You can't bury them all: Poems,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,In stock,£33.63,55f9da0c5eea2e10,£0.00,0,Poetry,http://books.toscrape.com/category/books/poetry_23/index.html,"A poetry that is at once harrowing, angry, and achingly beautiful Patrick Woodcock has spent the pa"
Slow States of Collapse: Poems,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,In stock,£57.31,b4fd5943413e089a,£0.00,0,Poetry,http://books.toscrape.com/category/books/poetry_23/index.html,"The eagerly anticipated debut from one of Canada’s most exciting new poets In her debut collection,"
Reasons to Stay Alive,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,In stock,£26.41,c8f7f0cb1abb9cac,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,"I want life. I want to read it and write it and feel it and live it. I want, for as much of the tim"
Private Paris (Private #10),http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,In stock,£47.61,b12b89017878a60d,£0.00,0,Fiction,http://books.toscrape.com/category/books/fiction_10/index.html,Paris is burning--and only Private's Jack Morgan can put out the fire.When Jack Morgan stops by Pri
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,In stock,£23.11,c27f6e1f185b0383,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,There is a cosmic alarm clock going off around the world! #HigherSelfie's aim is to unite all those
Without Borders (Wanderlove #1),http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,In stock,£45.07,acddfeab2a407640,£0.00,0,New Adult,http://books.toscrape.com/category/books/new-adult_20/index.html,"For Annie London, a month in a Central American rainforest means handing out mosquito nets, giving "
When We Collided,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,In stock,£31.77,3ecb690d1542c568,£0.00,0,Contemporary,http://books.toscrape.com/category/books/contemporary_38/index.html,"We are seventeen and shattered and still dancing. We have messy, throbbing hearts, and we are stron"
"We Love You, Charlie Freeman",http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,In stock,£50.27,8d455c7539795d2a,£0.00,0,Fiction,http://books.toscrape.com/category/books/fiction_10/index.html,"The Freeman family--Charles, Laurel, and their daughters, teenage Charlotte and nine-year-old Calli"
Untitled Collection: Sabbath Poems 2014,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,In stock,£14.27,657fe5ead67a7767,£0.00,0,Poetry,http://books.toscrape.com/category/books/poetry_23/index.html,"More than thirty-five years ago, when the weather allowed, Wendell Berry began spending his sabbath"
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,In stock,£44.18,d170b5a0da46380e,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,It all started with Nathanael Johnson’s decision to teach his daughter the name of every tree they 
Unicorn Tracks,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,In stock,£18.78,7ae099f3898e0209,£0.00,0,Fantasy,http://books.toscrape.com/category/books/fantasy_19/index.html,"After a savage attack drives her from her home, sixteen-year-old Mnemba finds a place in her cousin"
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,In stock,£25.52,9a9d6e9bc555731e,£0.00,0,History,http://books.toscrape.com/category/books/history_32/index.html,"Although we usually think of technology as something unique to modern times, our ancestors began to"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,In stock,£16.28,09555be379ad9253,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,"DUAL WORLDS, DUAL SIGHTS In the land of Nirai Kanai, there are two realms, one that is the ""outside"
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,In stock,£31.12,7858914fad68493c,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,Capital in the Twenty-First Century meets The Second Machine Age in this stunning and optimistic to
This One Summer,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,In stock,£19.49,51653ef291ab7ddc,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, th"
Thirst,http://books.toscrape.com/catalogue/thirst_946/index.html,In stock,£17.27,709822d0b5bcb7f4,£0.00,0,Fiction,http://books.toscrape.com/category/books/fiction_10/index.html,"On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are acci"
The Torch Is Passed: A Harding Family Story,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,In stock,£19.09,4eed62cf5f8d8edf,£0.00,0,Add a comment,http://books.toscrape.com/category/books/add-a-comment_18/index.html,Andrea Harding is a recent college graduate looking forward to attending Duke Law School when her w
The Secret of Dreadwillow Carse,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,In stock,£56.13,b5ea0b5dabed25a8,£0.00,0,Childrens,http://books.toscrape.com/category/books/childrens_11/index.html,A princess and a peasant girl must embark on a dangerous quest to outwit a centuries-old warning fo
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,In stock,£56.41,142d767a56a9254d,£0.00,0,Food and Drink,http://books.toscrape.com/category/books/food-and-drink_33/index.html,"THERE’S NO TIME LIKE DINNERTIME!Oh, don’t get me wrong. I adore breakfast. I love lunch! But dinner"
The Past Never Ends,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,In stock,£56.50,5ee94540d0749ea0,£0.00,0,Mystery,http://books.toscrape.com/category/books/mystery_3/index.html,"A simple task, Attorney Chester Morgan thinks. Get a copy of a public record for a young man whose "
The Natural History of Us (The Fine Art of Pretending #2),http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,In stock,£45.22,cedf82b5086e4691,£0.00,0,Young Adult,http://books.toscrape.com/category/books/young-adult_21/index.html,One class assignment. One second chance at love. The school player is all in. Now he needs to win b
The Nameless City (The Nameless City #1),http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,In stock,£38.16,7d385d34d12e60ff,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,"Every nation that invades the City gives it a new name. But before long, new invaders arrive and th"
The Murder That Never Was (Forensic Instincts #5),http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,In stock,£54.11,d01ac97e2b8947c2,£0.00,0,Fiction,http://books.toscrape.com/category/books/fiction_10/index.html,"Given the opportunity, would you assume someone else's identity and leave your old life behind? A s"
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,In stock,£42.96,aadee1c326d286e3,£0.00,0,Science,http://books.toscrape.com/category/books/science_22/index.html,"Renowned ornithologist Tim Birkhead opens this gripping story as a female guillemot chick hatches, "
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,In stock,£23.89,31075275518532d7,£0.00,0,Add a comment,http://books.toscrape.com/category/books/add-a-comment_18/index.html,Is anxiety and fear a problem for you? Have you tried to win the war with your anxious mind and bod
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,In stock,£16.77,0da9aa9d24677fc0,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,"Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clo"
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,In stock,£20.59,8c9e6bf2467d740d,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"Slay Procrastination, Distraction, and Overwhelm!Who doesn’t want more time and energy for family, "
The Gutsy Girl: Escapades for Your Life of Epic Adventure,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,In stock,£37.13,acd86a5426e21ca0,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,"Why should girls miss out on the joy of adventure? They can jump off rocks, swing on ropes, and cli"
The Electric Pencil: Drawings from Inside State Hospital No. 3,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,In stock,£56.06,a30b270e25489e5c,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,"Deeds's subtle, meticulous, and wildly imaginative pencil and crayon drawings portray an unusual ca"
The Death of Humanity: and the Case for Life,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,In stock,£58.11,bd261725b99f5983,£0.00,0,Philosophy,http://books.toscrape.com/category/books/philosophy_7/index.html,"Do you believe human life is inherently valuable? Unfortunately, in the secularized age of state-sa"
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,In stock,£49.05,43c6a960757cf559,£0.00,0,Health,http://books.toscrape.com/category/books/health_47/index.html,"In his midtwenties, Dave Asprey was a successful Silicon Valley multimillionaire. He also weighed 3"
The Art Forger,http://books.toscrape.com/catalogue/the-art-forger_930/index.html,In stock,£40.76,80cfab6bcff3a244,£0.00,0,Add a comment,http://books.toscrape.com/category/books/add-a-comment_18/index.html,"On March 18, 1990, thirteen works of art today worth over $500 million were stolen from the Isabell"
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,In stock,£19.73,a3d2a4250807f1e9,£0.00,0,History,http://books.toscrape.com/category/books/history_32/index.html,The Age of Genius explores the eventful intertwining of outward event and inner intellectual life t
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,In stock,£32.24,7d6d2a6c0276f81b,£0.00,0,Spirituality,http://books.toscrape.com/category/books/spirituality_39/index.html,"Change and anger are in the air. Looking for answers to today’s wrenching challenges, William Marti"
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,In stock,£41.83,87b0615b6e1f4d7b,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,Marie Kondo’s unique KonMari Method of tidying up is nothing short of life-changing—and her first b
Soul Reader,http://books.toscrape.com/catalogue/soul-reader_926/index.html,In stock,£39.58,e6af5bf1163c1151,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,Along with magic realism and a plethora of literary references throughout issues such as free will 
Security,http://books.toscrape.com/catalogue/security_925/index.html,In stock,£39.25,6f78a0d744c35456,£0.00,0,Horror,http://books.toscrape.com/category/books/horror_31/index.html,"“Original and imaginative . . . Ripping suspense, sheer terror, and a wrenching love story.” —Sandr"
"Saga, Volume 6 (Saga (Collected Editions) #6)",http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,In stock,£25.02,c849f0b2f5d6a742,£0.00,0,Fantasy,http://books.toscrape.com/category/books/fantasy_19/index.html,"After a dramatic time jump, the three-time Eisner Award winner for Best Continuing Series continues"
"Saga, Volume 5 (Saga (Collected Editions) #5)",http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,In stock,£51.04,53a3d11bb568cc8b,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,Multiple storylines collide in this cosmos-spanning new volume. While Gwendolyn and Lying Cat risk 
Reskilling America: Learning to Labor in the Twenty-First Century,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,In stock,£19.83,d7310206583a54b6,£0.00,0,Nonfiction,http://books.toscrape.com/category/books/nonfiction_13/index.html,"From Katherine Newman, award-winning author of No Shame in My Game, and sociologist Hella Winston, "
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,In stock,£50.40,c82a3e358c773c73,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,"Having survived the end of the world, the Queens follow Hannah back to where it all began: Mage Uni"
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,In stock,£13.61,0fa6dceead7ce47a,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,THE LONG-AWAITED STORY OF FANGIRLS TAKING ON TOKYO!Special large-size 2-in-1 edition of over 400 pa
Princess Between Worlds (Wide-Awake Princess #5),http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,In stock,£13.34,0e691eda369f4e09,£0.00,0,Fantasy,http://books.toscrape.com/category/books/fantasy_19/index.html,"Just as Annie and Liam are busy making plans to travel the world, a witch shows up and gives them a"
"Pop Gun War, Volume 1: Gift",http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,In stock,£18.97,e80f8e518b300dfe,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,"""Pop Gun War is about childhood, self-discovery, oppression, guilt, dreams, loneliness, whatever. I"
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,In stock,£36.28,7392c0032f92d816,£0.00,0,History,http://books.toscrape.com/category/books/history_32/index.html,"Just in time for the presidential election of 2016 comes Political Suicide, a history of the best a"
Patience,http://books.toscrape.com/catalogue/patience_916/index.html,In stock,£10.16,9429b4d59c537af5,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,"Patience is a psychedelic science-fiction love story, veering with uncanny precision from violent d"
